formulation_id,name,base_field,geometry,coefficient_ring,input_class,cycle_or_support_object,conclusion,status,relation_to_classical,principal_risk
HC-CLASSICAL-RATIONAL,Classical rational Hodge conjecture,C,smooth projective,Q,rational class in H^(2p) intersect H^(p,p),codimension-p algebraic cycles modulo rational equivalence then cycle class,surjectivity of CH^p tensor Q to rational Hodge classes,OPEN,canonical target,coefficient or projectivity drift
HC-INTEGRAL-NAIVE,Naive integral Hodge conjecture,C,smooth projective,Z,integral class of type (p,p),integral algebraic cycles,every integral Hodge class algebraic,FALSE IN GENERAL,stronger false analogue,torsion and cohomology-operation obstructions ignored
HC-KAHLER-ANALYTIC,Compact-Kahler analytic-cycle analogue,C,compact Kahler,Q or Z depending formulation,Hodge class,analytic cycles or coherent-sheaf Chern classes,generation by analytic geometry,FALSE IN GENERAL,not a permissible weakening of projectivity,projective-to-Kahler substitution
HC-LEFSCHETZ-11,Lefschetz (1,1) theorem,C,compact Kahler or smooth projective,Z modulo torsion / Q,degree-two (1,1) class,line bundles or divisors,degree-two Hodge classes arise from first Chern classes,THEOREM,establishes p=1 classical case,extrapolation to p>1
HC-GENERALIZED,Generalized Hodge conjecture,C,smooth projective,Q,Hodge substructure of prescribed level,closed algebraic support / coniveau,support of Hodge substructures in predicted codimension,OPEN DISTINCT STRONGER FAMILY,implies relevant classical support consequences but not equivalent,coniveau confused with cycle-class surjectivity
HC-VARIATIONAL,Variational Hodge conjecture,C,smooth projective family,Q,flat class remaining Hodge with one algebraic fiber,relative algebraic cycle after deformation,algebraicity transports along family,OPEN DISTINCT,consequence expected from classical applied fiberwise plus spread arguments; not equivalent,deformation transport assumed
HC-HODGE-LOCUS,Algebraicity of Hodge loci,C,algebraic family,Z or Q,fixed flat integral/rational class,parameter locus where class has type (p,p),Hodge locus is algebraic,THEOREM CDK,necessary parameter-space structure not cycle algebraicity,locus algebraicity promoted to class algebraicity
HC-ABSOLUTE,Absolute Hodge classes,characteristic zero,smooth projective,Q,Hodge class stable under embeddings,absolute Hodge correspondence,stability under field embeddings,THEOREM FOR IMPORTANT CLASSES / OPEN RELATION,substitute property; algebraic implies absolute but converse is not generally known,absolute promoted to algebraic
HC-MOTIVATED,Motivated cycles,characteristic zero,smooth projective,Q,classes generated using algebraic cycles and Lefschetz-star operations,motivated correspondences,unconditional motivic category,THEORY / NOT CLASSICAL CONCLUSION,broader correspondence class,broader class silently identified with algebraic cycles
HC-STANDARD-B,Lefschetz standard conjecture,arbitrary field,smooth projective,Q or l-adic,hard-Lefschetz inverse correspondence,algebraic correspondence,inverse Lefschetz induced by algebraic cycle,OPEN IN GENERAL,full Hodge on XxX would imply relevant complex cases; converse insufficient,inverse Lefschetz algebraicity assumed
HC-TATE,Tate conjecture,finitely generated fields,smooth projective,Q_l,Galois-invariant l-adic class,algebraic cycles over finite extension,surjectivity onto Tate classes,OPEN IN GENERAL,arithmetic parallel not automatic equivalent,missing specialization and lifting control
HC-EFFECTIVE,Single-effective-cycle strengthening,C,smooth projective,Q or Z,Hodge class,effective irreducible subvariety or positive cycle,single positive representative,NOT THE CLASSICAL CLAIM,stronger and generally inappropriate,rational differences disallowed
HC-NUMERICAL-PERIOD,Numerical period recognition,C,explicit projective variety,floating point or guessed algebraic numbers,computed periods and lattice relations,heuristic identification of Hodge classes,HEURISTIC ONLY,can suggest inputs but cannot prove exact algebraicity,roundoff and incomplete cycle search
