record_id,source_id,domain,forcing,initial_data,solution_class,hypothesis,conclusion,audit_state,programme_use
CLAY-A,NS-CI-SRC-CLAY-FEFFERMAN,R3,zero,"smooth divergence-free rapidly decreasing with every derivative","smooth velocity and pressure with bounded kinetic energy","none beyond official data assumptions","global smooth existence",AUDITED,"official positive branch"
CLAY-B,NS-CI-SRC-CLAY-FEFFERMAN,T3,zero,"smooth divergence-free periodic","smooth periodic velocity and pressure","none beyond official data assumptions","global smooth existence",AUDITED,"separate periodic branch"
LERAY-WEAK,NS-CI-SRC-OZANSKI-POOLEY,R3,zero,"divergence-free L2","global weak solution in energy class","energy-class construction","global weak existence",AUDITED_AT_STATEMENT_LEVEL,"weak-solution existence bridge"
LERAY-LOCAL-H1,NS-CI-SRC-OZANSKI-POOLEY,R3,zero,"divergence-free H1 or smooth","local strong solution","H1 regularity of initial datum","unique local strong existence and maximal-time theory",AUDITED_AT_STATEMENT_LEVEL,"continuation bridge"
LERAY-WSU,NS-CI-SRC-OZANSKI-POOLEY,R3,zero,"same initial datum","weak and strong solution","strong solution exists on comparison interval","weak solution equals strong solution",AUDITED_AT_STATEMENT_LEVEL,"weak-strong bridge"
PRODI-GENERAL,NS-CI-SRC-PRODI-1959,"arbitrary open Omega subset R3","paper's mixed-problem forcing","paper's generalized data","generalized solutions in Prodi framework","u in L^(2p/(p-3))_t L^p_x for 3<p<=infinity","uniqueness",AUDITED_WITH_FORMULATION_GAP,"historical uniqueness source"
PRODI-4-6,NS-CI-SRC-PRODI-1959,"arbitrary open Omega subset R3","paper's mixed-problem forcing","paper's generalized data","generalized solutions in Prodi framework","u in L4_t L6_x","uniqueness",AUDITED_WITH_FORMULATION_GAP,"critical pair historical instance"
SERRIN-1962,NS-CI-SRC-SERRIN-1962,"interior R3 setting","not extracted","not extracted","weak solutions","exact original theorem not extracted","interior regularity",THEOREM_TEXT_NOT_EXTRACTED,"historical attribution only"
LADY-1967,NS-CI-SRC-LADYZHENSKAYA-1967,"not translated","not translated","not translated","weak solutions","exact theorem pending translation","uniqueness and smoothness",TRANSLATION_PENDING,"historical attribution only"
LPS-OPERATIONAL,NS-CI-SRC-OPERATIONAL-LPS-2024,R3,zero,"same divergence-free datum in L2; H1 for strong conclusion through t=0","two Leray-Hopf weak solutions","u in L^r_t L^q_x; 2/r+3/q=1; q>3","uniqueness; strong solution under stated initial-data qualification",OPERATIONAL_STATEMENT_AUDITED,"modern campaign interface"
LPS-4-6,NS-CI-SRC-OPERATIONAL-LPS-2024,R3,zero,"same divergence-free datum in L2; H1 for strong conclusion through t=0","two Leray-Hopf weak solutions","u in L4(0,T;L6(R3))","uniqueness; strong solution under stated initial-data qualification",OPERATIONAL_STATEMENT_AUDITED,"NS-CI-L008 and NS-CI-L009"
NS-CI-FULL,R3 campaign formulation,R3,zero,"Fefferman condition (4): smooth divergence-free rapidly decreasing with every derivative","every Leray-Hopf solution","L4(0,T;L6(R3)) for every finite T","sufficient for Clay statement (A) through weak existence, LPS, and weak-strong uniqueness",AUDITED_ONE_WAY_CORRESPONDENCE,"canonical universal challenge"
NS-CI-COMPACT,R3 restricted formulation,R3,zero,"smooth compactly supported divergence-free","every Leray-Hopf solution","L4(0,T;L6(R3)) for every finite T","global smoothness for compactly supported data only",AUDITED_RESTRICTED,"restricted subclass; not alone the full Clay statement"
